Number,Team Name,Points,Win,Draw,Lost,Average
1,Real Madrid,86,26, 8, 4,49
2,Barça,73,21,10, 7,30
3,Athletico Mad,71,21, 8, 9,22
4,Sevilla FC,70,18,16, 4,23
5,Real Betis,65,19, 8,11,22
6,Real Sociedad,62,17,11,10, 3
7,Villarreal,59,16,11,11,26
8,Atletic,55,14,13,11, 7
9,Valencia,48,11,15,12,-4
10,Osasuna Villa,47,12,11,15,-14
11,Celta,46,12,10,16, 0
12,Rayo Vallecano,42,11, 9,18,-11
13,Elche,42,11, 9,18,-12
14,Espanyol,42,10,12,16,-13
15,Getafe,39, 8,15,15,-8
16,Mallorca,39,10, 9,19,-27
17,Cadiz,39, 8,15,15,-16
18,Granada,38, 8,14,16,-17
19,Levante,35, 8,11,19,-25
20,Alaves,31, 8, 7,23,-34
