Number,Team Name,Points,Win,Draw,Lost,Average
1,Milan,86,26, 8, 4,38
2,Inter,84,25, 9, 4,52
3,Napoli,79,24, 7, 7,43
4,Juventus,70,20,10, 8,20
5,Lazio,64,18,10,10,19
6,Roma,63,18, 9,11,16
7,Fiorentina,62,19, 5,14, 8
8,Atalanta,59,16,11,11,17
9,Verona,53,14,11,13, 6
10,Torino,50,13,11,14, 5
11,Sassuolo,50,13,11,14,-2
12,Udinese,47,11,14,13, 3
13,Bologna,46,12,10,16,-11
14,Empoli,41,10,11,17,-20
15,Sampdoria,36,10, 6,22,-17
16,Spezia,36,10, 6,22,-30
17,Salernitana,31, 7,10,21,-45
18,Cagliari,30, 6,12,20,-34
19,Genoa,28, 4,16,18,-33
20,Venezia,27, 6, 9,23,-35
