Number,Team Name,Points,Win,Draw,Lost,Average
1,Trabzonspor,81,23,12, 3,33
2,Fenerbahçe,73,21,10, 7,35
3,Konyaspor,68,20, 8,10,21
4,Başakşehir,65,19, 8,11,20
5,Alanyaspor,64,19, 7,12, 9
6,Beşiktaş,59,15,14, 9, 8
7,Antalyaspor,59,16,11,11, 7
8,Karagümrük,57,16, 9,13,-5
9,AdanaDemirspor,55,15,10,13,13
10,Sivasspor,54,14,12,12, 2
11,Kasımpaşa,53,15, 8,15,10
12,Hatayspor,53,15, 8,15,-4
13,Galatasaray,52,14,10,14,-2
14,Kayserispor,47,12,11,15,-7
15,GaziantepFK,46,12,10,16,-8
16,Giresunspor,45,12, 9,17,-6
17,Rizespor,36,10, 6,22,-27
18,Altay,34, 9, 7,22,-18
19,Göztepe,28, 7, 7,24,-37
20,YeniMalatya,20 , 5, 5,28,-44
